id,school_yearcode,school_id,Distro,DistroDate
626-20240-1,626-20240,626,1,8/6/2024
630-20240-1,630-20240,630,1,8/7/2024
629-20240-1,629-20240,629,1,8/13/2024
632-20240-1,632-20240,632,1,8/13/2024
676-20240-1,676-20240,676,1,8/13/2024
628-20240-1,628-20240,628,1,8/14/2024
622-20240-1,622-20240,622,1,8/15/2024
631-20240-1,631-20240,631,1,8/15/2024
412-20240-1,412-20240,412,1,8/16/2024
466-20240-1,466-20240,466,1,8/16/2024
171-20240-1,171-20240,171,1,8/20/2024
173-20240-1,173-20240,173,1,8/20/2024
431-20240-1,431-20240,431,1,8/20/2024
485-20240-1,485-20240,485,1,8/20/2024
501-20240-1,501-20240,501,1,8/20/2024
526-20240-1,526-20240,526,1,8/20/2024
574-20240-1,574-20240,574,1,8/20/2024
580-20240-1,580-20240,580,1,8/20/2024
617-20240-1,617-20240,617,1,8/20/2024
680-20240-1,680-20240,680,1,8/20/2024
694-20240-1,694-20240,694,1,8/20/2024
696-20240-1,696-20240,696,1,8/20/2024
188-20240-1,188-20240,188,1,8/21/2024
442-20240-1,442-20240,442,1,8/21/2024
465-20240-1,465-20240,465,1,8/21/2024
486-20240-1,486-20240,486,1,8/21/2024
487-20240-1,487-20240,487,1,8/21/2024
576-20240-1,576-20240,576,1,8/21/2024
618-20240-1,618-20240,618,1,8/21/2024
703-20240-1,703-20240,703,1,8/21/2024
93-20240-1,93-20240,93,1,8/21/2024
123-20240-1,123-20240,123,1,8/22/2024
129-20240-1,129-20240,129,1,8/22/2024
441-20240-1,441-20240,441,1,8/22/2024
443-20240-1,443-20240,443,1,8/22/2024
528-20240-1,528-20240,528,1,8/22/2024
582-20240-1,582-20240,582,1,8/22/2024
627-20240-1,627-20240,627,1,8/22/2024
63-20240-1,63-20240,63,1,8/22/2024
675-20240-1,675-20240,675,1,8/22/2024
187-20240-1,187-20240,187,1,8/23/2024
453-20240-1,453-20240,453,1,8/23/2024
125-20240-1,125-20240,125,1,8/27/2024
379-20240-1,379-20240,379,1,8/27/2024
