id,school_yearcode,DistroDate,DistroNumber,parent_distro,distrotype_id,TotalContainers,ContainersDistributed
5283378-34c66148-466,466-20240,11/8/2024,6,6,1,,185
2509729-42863ca1-466,466-20240,10/18/2024,5,5,1,,172
8027614-fa18278b-466,466-20240,9/20/2024,4,4,1,,180
7435427-f10aeb5d-466,466-20240,9/13/2024,3,3,1,,180
5196457-2c2006b2-466,466-20240,8/30/2024,2,2,1,,172
7203306-6a46ba8a-676,676-20240,11/19/2024,6,6,1,,125
5249150-5b899365,710-20240,11/7/2024,2,,1,126,126
3872179-25c1f743,705-20240,10/23/2024,5,,1,160,160
1618619-ca8bd460,696-20240,12/17/2024,8,,1,220,220
6630623-6ff30264,691-20240,11/12/2024,5,,1,110,102
9498979-e317b77f,674-20240,12/4/2024,6,,1,125,125
3791668-edd9a544,664-20240,10/22/2024,4,,1,180,173
247424-de326b5b,94-20240,11/8/2024,4,,1,100,97
6682718-498d2131,618-20240,11/13/2024,7,,1,115,115
4421855-187775a6,706-20240,10/29/2024,4,,1,100,98
7280436-ff588dfc,705-20240,11/20/2024,7,,1,160,160
9415540-49512244,696-20240,12/3/2024,7,,1,220,220
0258007-fedbfb0e,675-20240,12/12/2024,7,,1,115,115
9409122-f6c86816,694-20240,12/3/2024,6,,1,170,170
0193483-ef4aaff9,668-20240,12/12/2024,8,,1,220,220
6687630-0d3298ff,543-20240,11/12/2024,6,,1,65,65
9493136-36c8a1bc,648-20240,12/4/2024,5,,1,135,135
1742558-57811400,632-20240,12/17/2024,8,,1,175,175
9588384-dedf0937,622-20240,12/5/2024,8,,1,60,60
7298631-61e3809c,538-20240,11/20/2024,7,,1,145,145
6694189-01ec7e0d,701-20240,11/13/2024,5,,1,100,100
7210699-2041aeba,525-20240,11/19/2024,7,,1,165,165
7285060-6308d990,664-20240,11/19/2024,5,,1,185,185
5253105-0bf65a06,570-20240,11/8/2024,3,,1,225,225
9371171-5b810ec8,543-20240,9/24/2024,3,,1,50,45
7378542-adf547ff,622-20240,11/21/2024,7,,1,70,70
9579547-a20fa4d0,512-20240,12/5/2024,4,,1,125,125
5157314-48fd2a13,492-20240,11/7/2024,6,,1,155,155
5069379-60cfc2ee,581-20240,11/6/2024,6,,1,140,140
5199165-50c84e69,490-20240,11/7/2024,6,,1,140,131
0009276-8139c1ba,468-20240,12/10/2024,8,,1,100,100
5985108-08216b23,380-20240,11/5/2024,6,,1,70,70
7462872-2b801f22,668-20240,11/21/2024,7,,1,205,205
0278891-4a124e26,625-20240,12/12/2024,4,,1,140,140
6772440-fc0b81fd,675-20240,11/14/2024,6,,1,115,115
9493573-5bf35a45,647-20240,12/4/2024,5,,1,120,120
1652475-a2498ddd,539-20240,10/9/2024,4,,1,200,199
1703004-64a7587f,703-20240,12/18/2024,8,,1,125,125
5246718-7e76cacb,587-20240,11/6/2024,5,,1,200,193
7463184-8c3e16be,585-20240,11/22/2024,5,,1,190,190
7297543-b6ef4ba3,587-20240,11/20/2024,6,,1,190,190
0158361-512cafc3,586-20240,10/3/2024,2,,1,315,294
1831651-a0eeeff0,585-20240,12/19/2024,7,,1,185,185
2390764-a04035db,584-20240,10/17/2024,3,,1,300,274
7293300-99dc1310,674-20240,11/20/2024,5,,1,135,135
7463350-300fb38d,586-20240,11/22/2024,5,,1,350,350
4562394-f57c4acc,586-20240,10/31/2024,4,,1,350,321
3029129-6eee08b1,710-20240,10/24/2024,1,,1,43,43
7474748-659528ec,455-20240,11/22/2024,5,,1,185,185
1537138-5ff85da7,708-20240,12/13/2024,5,,1,155,155
9489679-71f1ae73,703-20240,12/4/2024,7,,1,135,135
9589177-7f64c9b3,690-20240,12/5/2024,6,,1,80,80
9575789-08ee1645,695-20240,12/5/2024,7,,1,130,130
9425244-50bb1330,543-20240,12/3/2024,7,,1,70,70
0284271-c9eb7b89,613-20240,12/13/2024,8,,1,60,60
9452114-130a1b1f,613-20240,12/3/2024,7,,1,60,60
0096049-ff9e8ad6,587-20240,12/11/2024,7,,1,180,180
0119754-f86b4212,478-20240,12/11/2024,7,,1,120,120
0190379-39d10e20,477-20240,12/12/2024,7,,1,135,135
0193743-4a63acd5,469-20240,12/12/2024,7,,1,140,140
1805998-e7600b87,248-20240,12/19/2024,7,,1,200,200
8944124-39fa66a4,101-20240,9/19/2024,0,,2,3,1
9576521-9847d6ae,711-20240,12/4/2024,2,,1,170,170
4467471-f85aa321,708-20240,10/29/2024,2,,1,150,135
9680166-b05a8f37,706-20240,12/6/2024,6,,1,100,100
1912012-12d0f682,668-20240,10/10/2024,4,,1,190,188
0053880-2433b844,664-20240,12/10/2024,6,,1,220,220
400536-b0d62c64,54-20240,10/29/2024,4,,1,125,125
6759045-621ce97a,521-20240,11/5/2024,6,,1,255,255
2350744-b34eed02,586-20240,10/17/2024,3,,1,330,310
4641335-f66edbe8,585-20240,10/31/2024,4,,1,180,170
4470556-2234c2df,513-20240,10/30/2024,3,,1,200,200
9686195-0f206364,585-20240,12/5/2024,6,,1,185,185
9667845-20af6fab,584-20240,12/5/2024,6,,1,290,290
3867223-b22b20ae,297-20240,10/22/2024,4,,1,34,34
6798333-231a7d6c,248-20240,11/14/2024,5,,1,200,199
3794106-a89c0f1c,101-20240,9/24/2024,6,,1,9,6
1742558-57811400-676,676-20240,12/17/2024,8,8,1,,175
3785761-a81c4ded-676,676-20240,10/22/2024,5,5,1,,121
9358724-ab383484-676,676-20240,9/24/2024,4,4,1,,104
1823179-ad6c2b19-523,523-20240,10/10/2024,3,3,1,,180
8949920-c50f76c6-443,443-20240,9/19/2024,3,3,1,,130
6724322-1ba58a4f-443,443-20240,9/5/2024,2,2,1,,110
4536981-26c9863a-443,443-20240,8/22/2024,1,1,1,,97
3983655-e27eb306-466,466-20240,8/16/2024,1,1,1,,169
9410919-155912aa-676,676-20240,12/3/2024,7,7,1,,135
5191929-85ccc6f4-523,523-20240,11/7/2024,5,5,1,,205
1787008-850bdf2c-443,443-20240,12/19/2024,8,8,1,,170
6764627-6515214a-443,443-20240,11/14/2024,6,6,1,,170
5938816-e0eaabac-676,676-20240,8/27/2024,2,2,1,,113
4559953-5db3b916-443,443-20240,10/31/2024,5,5,1,,157
5160618-b035c2ce,628-20240,11/6/2024,6,,1,100,100
8884839-0b16753d,523-20240,11/21/2024,6,,1,19,19
7466376-5b390d87,693-20240,11/22/2024,4,,1,75,75
9485764-1e1a374b,680-20240,12/3/2024,7,,1,130,130
7466004-7a1ccf23,570-20240,11/22/2024,4,,1,225,225
7382412-5ca81e5d,515-20240,11/21/2024,3,,1,130,130
8811247-882ceece,517-20240,11/26/2024,5,,1,90,90
6774208-9ce4f934,516-20240,11/14/2024,4,,1,650,650
7377463-3a33e81d,512-20240,11/21/2024,3,,1,125,125
6779685-0989774e,508-20240,11/14/2024,4,,1,150,150
8883849-a1e42b98,522-20240,11/21/2024,6,,1,200,200
0028673-4363cd4b,463-20240,12/10/2024,6,,1,75,75
9516216-df518b99,474-20240,12/4/2024,6,,1,130,130
5073615-8ecbf519,479-20240,11/6/2024,6,,1,180,172
4559953-5db3b916,441-20240,10/31/2024,5,,1,165,157
3943808-69bded2c,101-20240,8/30/2024,5,,1,11,11
1805647-d0812422,687-20240,12/19/2024,8,,1,150,150
4401043-c89321e9,696-20240,10/29/2024,5,,1,200,200
807065-06e9033e,63-20240,12/19/2024,8,,1,120,120
