id,ss_id,produce_id,ProduceWeight,PercentageReceived,ContainerType,ChildSurvey
42369153-e98bc295,143-42369106-9a2cfb79,prod1000,2,1,1,0
40963277-b4f1acaa,193-40962974-3bdbe759,prod1000,2,1,1,0
42167481-7bbf56a7,193-42167238-844a996d,prod1000,2,1,1,0
44378906-d0973107,193-44378728-ca0c8e92,prod1000,2,1,1,0
42280403-419a2179,288-42279939-ace04679,prod1000,2,1,1,0
42167582-ee403bd0,379-42167512-b1b0ba94,prod1000,2,1,1,0
44379111-77060e8b,380-44378991-dbc35e99,prod1000,2,1,1,0
42260853-2e27fcbf,422-42260481-c60b2a10,prod1000,2,1,1,0
37144219-1e66a53b,468-37144139-f88ef020,prod1000,2,1,1,0
50009425-b4d3a914,468-50009276-8139c1ba,prod1000,2,1,1,0
47307074-4b6195ca,478-47306828-846ffc66,prod1000,2,1,1,0
45921556-d3f494ba,486-45921046-8d61e4fb,prod1000,2,1,1,0
34416529-d89e907c,487-34416510-decb62eb,prod1000,2,1,1,0
36704760-6bb0c560,487-36704531-e1791ed7,prod1000,2,1,1,0
37317462-b546a1a7,490-37317437-4418255e,prod1000,2,1,1,0
50009695-4be519ce,491-50009667-2f1587ad,prod1000,2,1,1,0
46780445-50264f4c,508-46779685-0989774e,prod1000,2,1,1,0
37229545-626a8298,524-37229498-7c4cee55,prod1000,2,1,1,0
37159399-341187a5,525-37159336-ded94c67,prod1000,2,1,1,0
34331254-fada76fa,526-34331227-9320ce10,prod1000,2,1,1,0
44473753-678ccfa7,526-44473601-6873d4a0,prod1000,2,1,1,0
47182239-1bb395a9,526-47182103-b1fce469,prod1000,2,1,1,0
44564575-0423ff17,528-44564388-ab2f56f2,prod1000,2,1,1,0
49588628-ae1da512,528-49588593-10e20aef,prod1000,2,1,1,0
50183250-525a8548,538-50181917-ff5e9e75,prod1000,2,1,1,0
34339366-29ad15b3,580-34339342-d64aec21,prod1000,2,1,1,0
37226871-22aa7508,581-37226808-b2c09e3f,prod1000,2,1,1,0
44657299-7662d1d8,582-44657250-7c471a6a,prod1000,2,1,1,0
46761822-0ee6953d,582-46761784-a10350e9,prod1000,2,1,1,0
49574605-52db34f6,582-49574556-385d4605,prod1000,2,1,1,0
40167918-2a019768,584-40167873-a0ca5845,prod1000,2,1,1,0
40138963-e1144c88,585-40137141-ac124077,prod1000,2,1,1,0
40158434-98e1ffea,586-40158361-512cafc3,prod1000,2,1,1,0
51796036-b07adc32,586-51795968-f5d888bb,prod1000,2,1,1,0
35042165-b214202c,587-35042121-76dd920b,prod1000,2,1,1,0
50178687-594fe9e8,587-50096049-ff9e8ad6,prod1000,2,1,1,0
39374103-3be97627,599-39374075-a7844a62,prod1000,2,1,1,0
46869887-ac16422f,604-46868276-14736b3c,prod1000,2,1,1,0
42355933-1a58e5a0,610-42355794-cb8269e4,prod1000,2,1,1,0
50284313-7cc1cab2,613-50284271-c9eb7b89,prod1000,2,1,1,0
44476823-46ae4226,618-44476550-50f35bb2,prod1000,2,1,1,0
47410383-55c88c9d,628-47410218-a85137e0,prod1000,2,1,1,0
36627086-182540c2,630-36626819-32b154ed,prod1000,2,1,1,0
47285188-9d6f33dc,664-47285060-6308d990,prod1000,2,1,1,0
50090145-8104f57f,664-50053880-2433b844,prod1000,2,1,1,0
38933305-04a032e4,666-38933113-7965f94c,prod1000,2,1,1,0
37504103-adb083d7,667-37503991-55cf761c,prod1000,2,1,1,0
50193525-97f4d1d8,668-50193483-ef4aaff9,prod1000,2,1,1,0
38872718-301bce39,670-38872645-ab7f50c8,prod1000,2,1,1,0
42351712-5613b615,675-42351366-c6da9b00,prod1000,2,1,1,0
50025100-8aa44875,682-50024765-93f7adcc,prod1000,2,1,1,0
34376044-68f6318b,694-34375987-880d5423,prod1000,2,1,1,0
40972789-23c1eaf7,694-40972740-6b51da53,prod1000,2,1,1,0
36713336-677c8696,695-36713217-1b1c0b3a,prod1000,2,1,1,0
34494842-bb55b6fb,696-34494554-508c0806,prod1000,2,1,1,0
36540983-a222abc0,696-36540937-6bb2fd70,prod1000,2,1,1,0
44401098-b28c9be6,696-44401043-c89321e9,prod1000,2,1,1,0
49415734-7e677aab,696-49415540-49512244,prod1000,2,1,1,0
37316376-45c306eb,697-37316221-b20ef03e,prod1000,2,1,1,0
37158942-bba62c0f,7-37158879-7e719a18,prod1000,2,1,1,0
51718497-bfc50705,701-51718116-a73e8bef,prod1000,2,1,1,0
36707775-bd7187a8,703-36707733-d63d6323,prod1000,2,1,1,0
40044200-eb8d3ebb,703-40044176-92cf6477,prod1000,2,1,1,0
44464047-e39ee63c,703-44464005-8d60b6ce,prod1000,2,1,1,0
40052276-dc7dd52a,704-40052240-76608221,prod1000,2,1,1,0
50922098-d69c97f0,704-50921866-39c89341,prod1000,2,1,1,0
37229823-1363085e,705-37229601-24070366,prod1000,2,1,1,0
36726571-c9e7b427,8-36726555-455b526b,prod1000,2,1,1,0
35114969-d435a26e,490-35114743-a439b890,prod1000,2,1,1,0
36590743-a004c7e3,492-36590643-cbc6c65b,prod1000,2,1,1,0
35058509-5c9b5008,524-35058463-c75be0a3,prod1000,2,1,1,0
39437787-026d3496,524-39437613-bc3ff6f7,prod1000,2,1,1,0
35018159-7c8f14e4,581-35018134-afffe07b,prod1000,2,1,1,0
35222495-872b76c0,583-35222378-2b20d5f9,prod1000,2,1,1,0
42351897-3f093696,585-42351757-3725d6b2,prod1000,2,1,1,0
35017944-d5951241,705-35017909-24a07548,prod1000,2,1,1,0
47280797-ad18f666,705-47280436-ff588dfc,prod1000,2,1,1,0
36735742-4b7df70c,129-36735505-95de2ec0,prod1000,2,1,1,0
39374296-b39d8f81,14-39369572-f38d2a58,prod1000,2,1,1,0
34330594-097f4553,171-34330004-7579f174,prod1000,2,1,1,0
42190613-3a2d6be3,171-42190490-21f47f17,prod1000,2,1,1,0
37259749-c5b84656,178-37259548-d8418e5f,prod1000,2,1,1,0
42294816-69c583c5,188-42294565-faa039d0,prod1000,2,1,1,0
37339617-e301d210,227-37339477-c3c50016,prod1000,2,1,1,0
50181518-a45014f4,227-50181367-a20d342a,prod1000,2,1,1,0
36810763-1718c7bc,388-36810715-fe849a5e,prod1000,2,1,1,0
38846854-7bb9d5c1,41-38846733-3a1803da,prod1000,2,1,1,0
38846916-611e535f,41-38846733-3a1803da,prod1000,2,1,1,0
51787143-56de1f04,441-51787008-850bdf2c,prod1000,2,1,1,0
36808733-ccd83934,453-36808645-d7d14968,prod1000,2,1,1,0
39485152-1b591d8b,454-39485131-071243a8,prod1000,2,1,1,0
39631137-33098a05,455-39631054-5977164f,prod1000,2,1,1,0
38847167-36fba825,456-38847084-0b9c979c,prod1000,2,1,1,0
51714424-e9880f8b,456-51714359-59d81df8,prod1000,2,1,1,0
39462682-37eddd56,458-39444240-bd9db7fa,prod1000,2,1,1,0
